epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1362.52,1.39422,2.06462,1.43222,0.57569,0.47516,0.49392,0.22727,1.76551,1.78637,1.55379,0.000237635,0.000237635,0.000237635
2,2626.36,1.26942,1.57653,1.35143,0.67913,0.5008,0.55472,0.25798,1.79033,1.61802,1.64344,0.000466217,0.000466217,0.000466217
3,3826.82,1.26438,1.53237,1.35458,0.64396,0.47858,0.5416,0.23683,1.84948,1.59647,1.60084,0.000685375,0.000685375,0.000685375
4,5042.04,1.24473,1.47515,1.33339,0.65228,0.55547,0.5866,0.28122,1.83216,1.41512,1.67184,0.000671588,0.000671588,0.000671588
5,6233.8,1.19775,1.38369,1.30665,0.67515,0.53357,0.587,0.28016,1.82536,1.38556,1.62477,0.000657451,0.000657451,0.000657451
6,7484.71,1.17524,1.34147,1.29204,0.76253,0.58713,0.6547,0.32409,1.71045,1.22145,1.54308,0.000643314,0.000643314,0.000643314
7,8645.78,1.16075,1.2948,1.27641,0.78406,0.5698,0.63579,0.30141,1.76265,1.2508,1.56816,0.000629177,0.000629177,0.000629177
8,9827.77,1.14411,1.23936,1.26353,0.80617,0.55343,0.63641,0.297,1.8051,1.2322,1.5482,0.00061504,0.00061504,0.00061504
9,11168.6,1.11598,1.19336,1.25066,0.77494,0.61002,0.6628,0.31868,1.74714,1.17884,1.56083,0.000600902,0.000600902,0.000600902
10,12306.5,1.09686,1.17667,1.24601,0.74245,0.60962,0.66003,0.30936,1.80273,1.24109,1.56039,0.000586765,0.000586765,0.000586765
11,13520,1.09499,1.14264,1.22951,0.85398,0.59306,0.67908,0.35804,1.65059,1.09915,1.47228,0.000572628,0.000572628,0.000572628
12,14783.9,1.07556,1.11711,1.22617,0.82,0.62362,0.68769,0.33743,1.75545,1.12285,1.54405,0.000558491,0.000558491,0.000558491
13,16104.1,1.0616,1.06995,1.20831,0.80918,0.62147,0.68532,0.33844,1.71274,1.08812,1.51452,0.000544354,0.000544354,0.000544354
14,17321.4,1.05773,1.05946,1.20496,0.80453,0.63338,0.69001,0.3288,1.77034,1.10788,1.595,0.000530216,0.000530216,0.000530216
15,18552.4,1.03995,1.04163,1.19807,0.87761,0.62467,0.71145,0.36695,1.65011,1.01768,1.48632,0.000516079,0.000516079,0.000516079
16,19840.5,1.0219,1.00457,1.18552,0.80347,0.63958,0.71069,0.37789,1.59871,1.04177,1.44545,0.000501942,0.000501942,0.000501942
17,20976.5,1.01853,0.99185,1.18074,0.81855,0.62883,0.68871,0.35214,1.64356,1.05554,1.47746,0.000487805,0.000487805,0.000487805
18,22150.4,0.99868,0.97813,1.17701,0.83713,0.66252,0.72755,0.38412,1.55373,0.98268,1.43936,0.000473668,0.000473668,0.000473668
19,23342.5,1.00113,0.95384,1.17016,0.79373,0.66138,0.71699,0.37116,1.64651,0.96669,1.49545,0.00045953,0.00045953,0.00045953
